SECONDARY SCIENCE CHEMICAL INVENTORY APPROVED CHEMICALS - ALL,,,,,,,,,,,,,,,,,,,,,
SCHOOL NAME:,,,,,,,,,,,,,,,,,,,,,
COMPLETED BY:,,ItemStatus,Company,Catalog,MSDS,Units,Storage Area,Room #,,Cells with a red triangle in the upper right-hand corner contain comments. Click or hover over the cell to see the comment.,,,,,,,,,,,
DATE COMPLETED:,Sat May 14 2016 at 06:17 PM
Name,ListType,ItemType,Department,Amount,Remind,Notes,,,,,,,,,,,,,,,
APPROVED CHEMICALS,,,,,,,Will be removed,,,STORAGE LOCATION #1,,,,STORAGE LOCATION #2,,,,,OPTIONAL ,,
Chemical Name,School Name,Common Names,Storage Area,Anion,Cation,MSDS FILE #,WHMIS Class,CAS #,Storage Area (from Approved List),Room where Stored,Cabinet or Cupboard where Stored,Volume / Mass,Date Purchased (if known) mm/dd/yy,Room where Stored,Cabinet or Cupboard where Stored,Volume / Mass,Date Purchased (if known) mm/dd/yy,Request Disposal? (Y or N),Grade,Rationale,Supplier
Name,ItemType,ShopList,Department,Amount,Remind,Notes,Status,Company,Cat#,MSDS,Units,Storage,Room,Date,,,,,,,
bromothymol blue  ,Consumable,No,General,750,60,Notes,Ok,Unknown,76-59-5,#349,1,Indicators Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
buffer solution ph  7 buffer solution ph 7,Consumable,No,General,0,60,Notes,Ok,Unknown,Mixture,#306,0,Indicators Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
buffer solution ph 10  ,Consumable,No,General,0,60,Notes,Ok,Unknown,Mixture,#303,0,Indicators Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
buffer solution ph 4  ,Consumable,No,General,0,60,Notes,Ok,Unknown,Mixture,#348,0,Indicators Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
cadmium acetate  ,Consumable,No,General,0,60,Notes,Ok,Unknown,543-90-8,#756,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
cadmium sulfate  ,Consumable,No,General,0,60,Notes,Ok,Unknown,10124-36-4,#757,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
caffeine methyltheobromine  1 3 7 trimethylxanthine,Consumable,No,General,0,60,Notes,Ok,Unknown,1958-08-02,#286,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
calcium acetate  ,Consumable,No,General,100,60,Notes,Ok,Unknown,5743-26-0,#758,0,Organic Cupboard,1044A,Thu Apr 14 2016 at 12:42 PM
calcium carbide  ,Consumable,No,General,600,60,Notes,Ok,Unknown,75-20-7,#363,0,Small Flammable Cabinet,1044A,Thu Apr 14 2016 at 12:42 PM
calcium carbonate calcium carbonate  marble chips  boiling chips  chalk,Consumable,No,General,180,60,Notes,Ok,Unknown,471-34-1,#365,0,General,2017,Thu Apr 14 2016 at 12:42 PM
calcium chloride  ,Consumable,No,General,1030,60,Notes,Ok,Unknown,10043-52-4,#370,0,General,2017,Thu Apr 14 2016 at 12:42 PM
calcium fluoride  ,Consumable,No,General,300,60,Notes,Ok,Unknown,7789-75-5,Approved List - No MSDS online,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
calcium hydroxide  ,Consumable,No,General,950,60,Notes,Ok,Unknown,1305-62-0,#369,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
calcium hydroxide solution lime water,Consumable,No,General,1,60,Notes,Ok,Unknown,1305-62-0,#366,0,General,2017,Thu Apr 14 2016 at 12:42 PM
calcium hypochlorite  ,Consumable,No,General,1,60,Notes,Ok,Unknown,7778-54-3,#362,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
calcium metal  ,Consumable,No,General,175,60,Notes,Ok,Unknown,7440-70-2,#436,0,Small Flammable Cabinet,1044A,Thu Apr 14 2016 at 12:42 PM
calcium nitrate  ,Consumable,No,General,450,60,Notes,Ok,Unknown,10124-37-5,#314,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
calcium oxide lime  caustic lime  quicklime,Consumable,No,General,0,60,Notes,Ok,Unknown,1305-78-8,#371,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
calcium phosphate  ,Consumable,No,General,0,60,Notes,Ok,Unknown,7758-23-8,#753,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
calcium sulfate  ,Consumable,No,General,600,60,Notes,Ok,Unknown,7778-18-9,#368,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
camphor  ,Consumable,No,General,6,60,Notes,Ok,Unknown,76-22-2,#390,0,Small Flammable Cabinet,1044A,Thu Apr 14 2016 at 12:42 PM
carbon  activated powder  ,Consumable,No,General,0,60,Notes,Ok,Unknown,7440-44-0,#749,0,General,1044A,Thu Apr 14 2016 at 12:42 PM
carbon dioxide  ,Consumable,No,General,3,60,Notes,Ok,Unknown,124-38-9,#164 Archived,0,Compressed Gas - Secured Cylinders,1044A,Thu Apr 14 2016 at 12:42 PM
